TKR,C/P,STRIKE,OPTKR,EXPDAY,lag_1_optkr,lag_1_stk,lag_1_pct_chg,lag_0_optkr,lag_0_stk,lag_0_pct_chg,lead_0_optkr,lead_0_stk,lead_0_pct_chg,lead_1_optkr,lead_1_stk,lead_1_pct_chg
AMAT,P,140.01,"",2021-06-18,AMAT  210618P00125000,125,12.008,AMAT  210618P00130000,130,7.69999999999999,AMAT  210716C00135000,135,3.7111111111111,AMAT  210716C00140000,140,0.00714285714285065
AMAT,C,140.01,"",2021-07-16,AMAT  210716C00135000,135,3.7111111111111,AMAT  210716C00140000,140,0.00714285714285065,AMAT  210716C00145000,145,-3.44137931034483,AMAT  210716C00155000,155,-9.67096774193549
AMAT,P,140.01,"",2021-07-16,AMAT  210716P00090000,90,55.5666666666667,AMAT  210716P00115000,115,21.7478260869565,AMAT  210716P00145000,145,-3.44137931034483,AMAT  210820C00140000,140,0.00714285714285065
AMAT,C,140.01,"",2021-08-20,AMAT  210716P00145000,145,-3.44137931034483,AMAT  210820C00140000,140,0.00714285714285065,AMAT  210820P00140000,140,0.00714285714285065,"",140.01,0
AMAT,P,140.01,"",2021-08-20,"",140.01,0,AMAT  210820P00140000,140,0.00714285714285065,AMC   210618C00007000,7,1900.14285714286,AMC   210618C00008000,8,1650.125
AMC,C,47.92,"",2021-06-18,AMC   210618C00043000,43,11.4418604651163,AMC   210618C00045000,45,6.48888888888889,AMC   210618C00048000,48,-0.166666666666663,AMC   210618C00050000,50,-4.16
AMC,P,47.92,"",2021-06-18,AMC   210618P00040000,40,19.8,AMC   210618P00045000,45,6.48888888888889,AMC   210618P00050000,50,-4.16,AMC   210618P00060000,60,-20.1333333333333
AMC,C,47.92,"",2021-07-16,AMC   210716C00030000,30,59.7333333333333,AMC   210716C00033000,33,45.2121212121212,AMC   210716C00050000,50,-4.16,AMC   210716C00055000,55,-12.8727272727273
AMC,P,47.92,"",2021-07-16,AMC   210716P00030000,30,59.7333333333333,AMC   210716P00040000,40,19.8,AMC   210716P00050000,50,-4.16,AMC   210716P00060000,60,-20.1333333333333
AMC,C,47.92,"",2021-08-20,AMC   210820C00020000,20,139.6,AMC   210820C00025000,25,91.68,AMC   210820C00070000,70,-31.5428571428571,AMC   210820P00008000,8,499
AMC,P,47.92,"",2021-08-20,AMC   210820P00030000,30,59.7333333333333,AMC   210820P00040000,40,19.8,AMC   210820P00050000,50,-4.16,AMD   210618C00040000,40,19.8
